example_id,channel_id,decoder_policy_id,threshold,D_A_success,D_B_success,D_joint_success,D_parity_success,D_A_pass,D_B_pass,D_joint_pass,D_parity_pass,diagnostic_class,why_useful_for_formal_arm,recovery_provenance_class,registry_digest,cascade_evidence_status,notes
marginal_joint_example_010,bit_flip_p_0_05,bayes_best_target_distinction,0.95,0.95,0.95,0.9025,0.905,1,1,0,0,marginal_recovered_joint_not_recovered,separates marginal-like recovery from joint recovery in a finite channel,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_011,bit_flip_p_0_05,fixed_declared_target_distinction,0.95,0.95,0.95,0.9025,0.905,1,1,0,0,marginal_recovered_joint_not_recovered,separates marginal-like recovery from joint recovery in a finite channel,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_012,bit_flip_p_0_10,bayes_best_target_distinction,0.95,0.9,0.9,0.81,0.82,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_013,bit_flip_p_0_10,fixed_declared_target_distinction,0.95,0.9,0.9,0.81,0.82,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_014,bit_flip_p_0_25,bayes_best_target_distinction,0.95,0.75,0.75,0.5625,0.625,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_015,bit_flip_p_0_25,fixed_declared_target_distinction,0.95,0.75,0.75,0.5625,0.625,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_016,bit_flip_p_0_50,bayes_best_target_distinction,0.95,0.5,0.5,0.25,0.5,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_017,bit_flip_p_0_50,fixed_declared_target_distinction,0.95,0.5,0.5,0.25,0.5,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_018,comp_bitflip_0_10_then_0_25,bayes_best_target_distinction,0.95,0.7,0.7,0.49,0.58,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_019,comp_bitflip_0_10_then_0_25,fixed_declared_target_distinction,0.95,0.7,0.7,0.49,0.58,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_020,comp_identity_then_marginal_degrade_0_10,bayes_best_target_distinction,0.95,0.95,0.95,0.9,0.9,1,1,0,0,marginal_recovered_joint_not_recovered,separates marginal-like recovery from joint recovery in a finite channel,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_021,comp_identity_then_marginal_degrade_0_10,fixed_declared_target_distinction,0.95,0.95,0.95,0.9,0.9,1,1,0,0,marginal_recovered_joint_not_recovered,separates marginal-like recovery from joint recovery in a finite channel,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_022,identity_channel,bayes_best_target_distinction,0.95,1.0,1.0,1.0,1.0,1,1,1,1,marginal_and_joint_recovered,sanity positive example for joint and marginal recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_023,identity_channel,fixed_declared_target_distinction,0.95,1.0,1.0,1.0,1.0,1,1,1,1,marginal_and_joint_recovered,sanity positive example for joint and marginal recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_024,marginal_joint_degrade_q_0_10,bayes_best_target_distinction,0.95,0.95,0.95,0.9,0.9,1,1,0,0,marginal_recovered_joint_not_recovered,separates marginal-like recovery from joint recovery in a finite channel,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_025,marginal_joint_degrade_q_0_10,fixed_declared_target_distinction,0.95,0.95,0.95,0.9,0.9,1,1,0,0,marginal_recovered_joint_not_recovered,separates marginal-like recovery from joint recovery in a finite channel,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_026,marginal_joint_degrade_q_0_20,bayes_best_target_distinction,0.95,0.9,0.9,0.8,0.8,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_027,marginal_joint_degrade_q_0_20,fixed_declared_target_distinction,0.95,0.9,0.9,0.8,0.8,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_028,output_marginal_matched_uniform,bayes_best_target_distinction,0.95,0.5,0.5,0.25,0.5,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_029,output_marginal_matched_uniform,fixed_declared_target_distinction,0.95,0.5,0.5,0.25,0.5,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_030,projection_A_channel,bayes_best_target_distinction,0.95,1.0,0.5,0.5,0.5,1,0,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_031,projection_A_channel,fixed_declared_target_distinction,0.95,1.0,,,,1,0,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_032,projection_B_channel,bayes_best_target_distinction,0.95,0.5,1.0,0.5,0.5,0,1,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_033,projection_B_channel,fixed_declared_target_distinction,0.95,,1.0,,,0,1,0,0,mixed_or_partial,mixed finite diagnostic for theorem-side case analysis,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_034,random_channel_same_output_entropy_seed_17,bayes_best_target_distinction,0.95,0.6875,0.625,0.5,0.6875,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_035,random_channel_same_output_entropy_seed_17,fixed_declared_target_distinction,0.95,0.5625,0.625,0.5,0.5625,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_036,total_erasure_channel,bayes_best_target_distinction,0.95,0.5,0.5,0.25,0.5,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,optimized_policy_search,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
marginal_joint_example_037,total_erasure_channel,fixed_declared_target_distinction,0.95,,,,,0,0,0,0,all_nontrivial_lost,sanity negative example for degraded recovery,fixed_declared_policy_no_registry,unregistered_legacy_source,not_applicable,finite stochastic marginal/joint distinction example
